iter	Passed	Remaining
1117	18636	148059
1118	18652	148040
1119	18669	148022
1120	18686	148006
1121	18703	147994
1122	18720	147977
1123	18736	147961
1124	18753	147946
1125	18770	147929
1126	18786	147912
1127	18803	147896
1128	18820	147879
1129	18836	147858
1130	18853	147842
1131	18870	147829
1132	18887	147815
1133	18904	147798
1134	18921	147784
1135	18937	147767
1136	18954	147752
1137	18971	147736
1138	18988	147721
1139	19005	147708
1140	19022	147691
1141	19038	147676
1142	19055	147659
1143	19072	147645
1144	19089	147632
1145	19106	147619
1146	19123	147603
1147	19140	147588
1148	19156	147567
1149	19173	147553
1150	19191	147543
1151	19208	147528
1152	19225	147516
1153	19242	147503
1154	19259	147491
1155	19277	147480
1156	19294	147469
1157	19311	147454
1158	19327	147436
1159	19344	147421
1160	19361	147405
1161	19378	147389
1162	19395	147373
1163	19412	147360
1164	19429	147344
1165	19445	147324
1166	19462	147307
1167	19478	147292
1168	19494	147271
1169	19511	147254
1170	19529	147244
1171	19545	147222
1172	19562	147210
1173	19579	147198
1174	19596	147182
1175	19613	147167
1176	19630	147151
1177	19647	147135
1178	19663	147120
1179	19681	147110
1180	19699	147105
1181	19716	147091
1182	19733	147078
1183	19750	147062
1184	19767	147047
1185	19784	147032
1186	19801	147019
1187	19818	147000
1188	19834	146985
1189	19851	146969
1190	19868	146950
1191	19885	146936
1192	19901	146918
1193	19918	146900
1194	19934	146883
1195	19951	146869
1196	19968	146853
1197	19985	146839
1198	20002	146821
1199	20019	146808
1200	20036	146791
1201	20052	146773
1202	20069	146757
1203	20086	146742
1204	20102	146725
1205	20120	146712
1206	20137	146700
1207	20154	146690
1208	20172	146677
1209	20189	146667
1210	20206	146653
1211	20224	146645
1212	20241	146626
1213	20257	146610
1214	20274	146593
1215	20292	146584
1216	20308	146565
1217	20325	146552
1218	20342	146536
1219	20359	146518
1220	20375	146500
1221	20392	146482
1222	20408	146464
1223	20425	146446
1224	20441	146428
1225	20458	146412
1226	20475	146397
1227	20492	146382
1228	20508	146364
1229	20525	146347
1230	20542	146332
1231	20559	146316
1232	20577	146309
1233	20593	146292
1234	20610	146274
1235	20627	146260
1236	20643	146243
1237	20661	146230
1238	20678	146216
1239	20695	146201
1240	20712	146187
1241	20728	146169
1242	20745	146153
1243	20762	146137
1244	20779	146125
1245	20797	146114
1246	20814	146099
1247	20831	146086
1248	20848	146069
1249	20864	146051
1250	20881	146035
1251	20898	146022
1252	20916	146012
1253	20933	145998
1254	20949	145981
1255	20966	145965
1256	20983	145949
1257	21000	145932
1258	21016	145915
1259	21033	145896
1260	21050	145881
1261	21066	145866
1262	21084	145853
1263	21100	145836
1264	21117	145820
1265	21134	145806
1266	21152	145793
1267	21169	145780
1268	21186	145767
1269	21203	145754
1270	21222	145754
1271	21240	145746
1272	21258	145733
1273	21274	145714
1274	21291	145699
1275	21307	145682
1276	21324	145665
1277	21341	145650
1278	21358	145633
1279	21375	145617
1280	21391	145600
1281	21408	145585
1282	21425	145571
1283	21442	145555
1284	21459	145539
1285	21475	145521
1286	21492	145505
1287	21509	145489
1288	21526	145474
1289	21543	145461
1290	21560	145445
1291	21577	145428
1292	21594	145414
1293	21611	145398
1294	21627	145380
1295	21644	145367
1296	21661	145352
1297	21678	145335
1298	21695	145320
1299	21712	145303
1300	21729	145293
1301	21746	145277
1302	21763	145265
1303	21780	145249
1304	21798	145239
1305	21814	145220
1306	21831	145205
1307	21848	145185
1308	21864	145168
1309	21881	145152
1310	21898	145136
1311	21915	145122
1312	21931	145104
1313	21948	145087
1314	21965	145069
1315	21981	145053
1316	21998	145037
1317	22016	145025
1318	22032	145006
1319	22049	144989
1320	22066	144974
1321	22082	144958
1322	22099	144940
1323	22116	144926
1324	22133	144911
1325	22149	144890
1326	22166	144873
1327	22182	144857
1328	22200	144845
1329	22217	144829
1330	22233	144811
1331	22251	144798
1332	22268	144784
1333	22285	144772
1334	22302	144760
1335	22320	144746
1336	22336	144730
1337	22353	144712
1338	22370	144696
1339	22387	144680
1340	22404	144666
1341	22420	144649
1342	22438	144635
1343	22454	144620
1344	22471	144604
1345	22487	144583
1346	22504	144564
1347	22521	144548
1348	22538	144536
1349	22555	144520
1350	22572	144505
1351	22588	144489
1352	22605	144470
1353	22621	144452
1354	22637	144430
1355	22654	144411
1356	22671	144397
1357	22688	144381
1358	22705	144366
1359	22721	144350
1360	22739	144336
1361	22755	144320
1362	22772	144306
1363	22789	144291
1364	22806	144273
1365	22823	144256
1366	22839	144241
1367	22856	144225
1368	22873	144210
1369	22890	144193
1370	22907	144176
1371	22924	144162
1372	22941	144147
1373	22957	144129
1374	22974	144114
1375	22991	144100
1376	23008	144081
1377	23025	144065
1378	23042	144054
1379	23059	144035
1380	23076	144025
1381	23094	144015
1382	23111	143999
1383	23128	143984
1384	23145	143967
1385	23161	143951
1386	23178	143934
1387	23195	143916
1388	23211	143899
1389	23229	143886
1390	23245	143869
1391	23262	143851
1392	23278	143833
1393	23295	143818
1394	23312	143803
1395	23329	143790
1396	23347	143778
1397	23364	143763
1398	23381	143751
1399	23398	143733
1400	23415	143717
1401	23431	143700
1402	23448	143683
1403	23465	143670
1404	23483	143656
1405	23500	143641
1406	23517	143626
1407	23533	143607
1408	23549	143588
1409	23566	143571
1410	23582	143552
1411	23599	143538
1412	23616	143522
1413	23633	143504
1414	23650	143492
1415	23667	143478
1416	23684	143461
1417	23701	143444
1418	23718	143428
1419	23734	143410
1420	23751	143393
1421	23767	143375
1422	23784	143358
1423	23801	143342
1424	23818	143326
1425	23834	143308
1426	23851	143292
1427	23868	143275
1428	23884	143258
1429	23901	143242
1430	23917	143222
1431	23934	143206
1432	23951	143189
1433	23967	143172
1434	23984	143154
1435	24001	143138
1436	24017	143118
1437	24034	143103
1438	24050	143084
1439	24067	143068
1440	24084	143053
1441	24101	143036
1442	24118	143023
1443	24135	143007
1444	24152	142991
1445	24169	142976
1446	24186	142961
1447	24202	142944
1448	24219	142927
1449	24236	142911
1450	24253	142898
1451	24270	142882
1452	24287	142866
1453	24303	142846
1454	24320	142831
1455	24337	142815
1456	24354	142797
1457	24370	142782
1458	24388	142769
1459	24405	142754
1460	24422	142741
1461	24440	142729
1462	24457	142714
1463	24474	142698
1464	24490	142681
1465	24507	142662
1466	24524	142647
1467	24540	142630
1468	24557	142614
1469	24574	142598
1470	24591	142581
1471	24607	142564
1472	24624	142546
1473	24641	142530
1474	24657	142511
1475	24674	142494
1476	24690	142478
1477	24707	142461
1478	24724	142445
1479	24740	142426
1480	24758	142413
1481	24775	142399
1482	24792	142383
1483	24808	142367
1484	24825	142349
1485	24841	142330
1486	24858	142312
1487	24874	142295
1488	24892	142280
1489	24908	142260
1490	24925	142245
1491	24941	142227
1492	24958	142212
1493	24975	142194
1494	24992	142179
1495	25008	142161
1496	25025	142145
1497	25042	142127
1498	25058	142111
1499	25075	142094
1500	25092	142077
1501	25109	142065
1502	25126	142050
1503	25144	142037
1504	25160	142020
1505	25178	142007
1506	25194	141989
1507	25211	141972
1508	25227	141955
1509	25244	141936
1510	25261	141924
1511	25279	141910
1512	25295	141893
1513	25312	141876
1514	25329	141859
1515	25345	141843
1516	25362	141826
1517	25379	141809
1518	25396	141792
1519	25412	141775
1520	25429	141761
1521	25446	141746
1522	25463	141731
1523	25480	141716
