iter	Passed	Remaining
750	5531	68126
751	5540	68139
752	5549	68152
753	5558	68161
754	5567	68170
755	5575	68178
756	5584	68191
757	5597	68254
758	5607	68275
759	5616	68280
760	5622	68265
761	5630	68258
762	5637	68245
763	5644	68232
764	5651	68227
765	5659	68221
766	5666	68211
767	5673	68206
768	5681	68196
769	5688	68183
770	5696	68183
771	5703	68173
772	5710	68166
773	5718	68162
774	5725	68148
775	5732	68142
776	5740	68141
777	5748	68140
778	5756	68134
779	5764	68136
780	5771	68127
781	5778	68111
782	5785	68100
783	5792	68087
784	5799	68076
785	5806	68065
786	5814	68061
787	5821	68058
788	5829	68051
789	5836	68045
790	5844	68041
791	5851	68029
792	5858	68020
793	5865	68010
794	5872	67997
795	5879	67987
796	5886	67974
797	5893	67964
798	5901	67961
799	5907	67938
800	5915	67933
801	5922	67923
802	5929	67912
803	5936	67905
804	5944	67904
805	5952	67902
806	5960	67899
807	5968	67901
808	5976	67899
809	5984	67895
810	5991	67888
811	5998	67880
812	6006	67868
813	6012	67855
814	6020	67847
815	6027	67838
816	6039	67888
817	6047	67881
818	6054	67869
819	6061	67864
820	6069	67853
821	6076	67845
822	6083	67834
823	6090	67827
824	6097	67816
825	6104	67803
826	6112	67804
827	6120	67798
828	6128	67794
829	6135	67786
830	6143	67780
831	6150	67773
832	6157	67762
833	6165	67760
834	6172	67746
835	6180	67743
836	6187	67736
837	6194	67728
838	6202	67723
839	6210	67718
840	6217	67708
841	6224	67703
842	6231	67688
843	6238	67682
844	6245	67666
845	6252	67659
846	6259	67647
847	6267	67644
848	6275	67646
849	6283	67636
850	6291	67634
851	6298	67630
852	6306	67622
853	6313	67616
854	6320	67608
855	6328	67598
856	6335	67590
857	6343	67591
858	6350	67583
859	6358	67579
860	6365	67567
861	6373	67559
862	6380	67558
863	6388	67552
864	6396	67549
865	6403	67539
866	6409	67522
867	6417	67516
868	6424	67509
869	6432	67500
870	6439	67495
871	6447	67494
872	6457	67510
873	6465	67514
874	6473	67510
875	6482	67522
876	6492	67541
877	6501	67552
878	6511	67562
879	6519	67569
880	6528	67578
881	6537	67586
882	6546	67592
883	6556	67607
884	6566	67631
885	6579	67676
886	6590	67708
887	6599	67716
888	6606	67709
889	6614	67705
890	6621	67697
891	6629	67693
892	6637	67691
893	6644	67680
894	6652	67672
895	6659	67662
896	6666	67651
897	6674	67649
898	6681	67640
899	6689	67636
900	6696	67622
901	6703	67613
902	6710	67598
903	6717	67592
904	6725	67590
905	6732	67578
906	6739	67565
907	6745	67540
908	6752	67529
909	6759	67521
910	6766	67513
911	6774	67508
912	6781	67497
913	6789	67492
914	6796	67485
915	6804	67479
916	6811	67469
917	6819	67464
918	6826	67455
919	6834	67452
920	6842	67452
921	6849	67444
922	6857	67439
923	6865	67435
924	6873	67429
925	6880	67425
926	6888	67420
927	6895	67411
928	6903	67404
929	6910	67392
930	6917	67384
931	6925	67378
932	6932	67366
933	6938	67353
934	6946	67345
935	6952	67323
936	6959	67313
937	6966	67298
938	6973	67293
939	6981	67285
940	6988	67275
941	6995	67265
942	7002	67255
943	7010	67254
944	7017	67242
945	7025	67237
946	7038	67288
947	7046	67286
948	7054	67283
949	7062	67277
950	7069	67272
951	7077	67263
952	7085	67259
953	7092	67252
954	7099	67243
955	7107	67238
956	7115	67233
957	7123	67232
958	7130	67225
959	7138	67223
960	7146	67216
961	7153	67210
962	7161	67203
963	7168	67196
964	7176	67188
965	7184	67184
966	7191	67177
967	7198	67165
968	7205	67151
969	7212	67143
970	7220	67137
971	7227	67128
972	7234	67119
973	7242	67113
974	7249	67107
975	7257	67098
976	7264	67091
977	7272	67084
978	7278	67071
979	7286	67064
980	7293	67054
981	7300	67045
982	7308	67041
983	7315	67031
984	7322	67020
985	7329	67009
986	7337	67004
987	7344	66996
988	7351	66985
989	7359	66976
990	7366	66970
991	7373	66958
992	7380	66945
993	7387	66937
994	7395	66931
995	7403	66924
996	7410	66916
997	7418	66912
998	7425	66901
999	7432	66896
1000	7440	66892
1001	7448	66888
1002	7457	66897
1003	7466	66899
1004	7475	66904
1005	7483	66903
1006	7492	66910
1007	7501	66922
1008	7510	66921
1009	7518	66923
1010	7527	66925
1011	7536	66933
1012	7544	66932
1013	7554	66947
1014	7563	66950
1015	7573	66968
1016	7587	67019
1017	7595	67019
1018	7605	67035
1019	7613	67025
1020	7621	67028
1021	7629	67020
1022	7636	67015
1023	7645	67018
1024	7653	67013
1025	7659	66998
1026	7666	66986
1027	7674	66976
1028	7681	66964
1029	7688	66958
1030	7695	66944
1031	7702	66934
1032	7710	66930
1033	7718	66925
1034	7725	66920
1035	7733	66912
1036	7740	66904
1037	7746	66886
1038	7754	66877
1039	7762	66873
1040	7770	66872
1041	7777	66859
1042	7784	66853
1043	7791	66843
1044	7799	66835
1045	7806	66825
1046	7813	66816
1047	7821	66811
1048	7828	66803
1049	7836	66798
1050	7844	66791
1051	7851	66783
1052	7858	66773
1053	7865	66762
1054	7873	66756
1055	7881	66755
1056	7888	66743
1057	7895	66733
1058	7902	66719
1059	7909	66705
1060	7916	66698
1061	7924	66693
1062	7932	66689
1063	7939	66682
1064	7947	66672
1065	7954	66664
1066	7962	66665
1067	7969	66647
1068	7976	66636
1069	7983	66626
1070	7990	66615
1071	7997	66604
1072	8004	66597
1073	8012	66588
1074	8019	66583
1075	8026	66566
1076	8032	66551
1077	8045	66584
1078	8053	66583
1079	8059	66565
1080	8066	66557
1081	8073	66542
1082	8081	66537
1083	8087	66521
1084	8094	66509
1085	8101	66499
1086	8108	66490
1087	8115	66472
1088	8122	66462
1089	8129	66450
1090	8136	66438
1091	8143	66433
1092	8151	66427
1093	8158	66416
1094	8166	66411
1095	8173	66401
1096	8181	66400
1097	8189	66393
1098	8196	66381
1099	8203	66374
1100	8210	66359
1101	8217	66350
1102	8224	66337
1103	8231	66330
1104	8238	66321
1105	8246	66316
1106	8254	66309
1107	8260	66296
1108	8268	66288
1109	8275	66280
1110	8283	66272
1111	8291	66268
1112	8298	66263
1113	8307	66264
1114	8314	66257
1115	8321	66243
1116	8328	66233
1117	8336	66230
1118	8343	66221
1119	8351	66216
1120	8360	66223
1121	8368	66217
1122	8375	66207
1123	8382	66197
1124	8389	66184
1125	8396	66174
1126	8403	66161
1127	8410	66150
1128	8415	66127
1129	8422	66116
1130	8430	66109
1131	8437	66101
1132	8445	66093
1133	8452	66084
1134	8459	66076
1135	8469	66089
1136	8479	66097
1137	8488	66099
1138	8497	66106
1139	8506	66109
1140	8515	66112
1141	8523	66112
1142	8532	66120
1143	8541	66119
1144	8549	66120
1145	8558	66120
1146	8566	66119
1147	8575	66123
1148	8587	66150
1149	8600	66184
1150	8606	66169
1151	8615	66169
1152	8621	66156
1153	8629	66151
1154	8637	66145
1155	8645	66142
1156	8652	66134
1157	8661	66133
1158	8667	66120
1159	8675	66109
1160	8683	66108
1161	8690	66101
1162	8699	66102
1163	8705	66086
1164	8713	66083
1165	8721	66077
1166	8729	66070
1167	8736	66064
1168	8744	66056
1169	8752	66052
1170	8760	66050
1171	8767	66042
1172	8774	66031
1173	8782	66022
1174	8789	66012
1175	8796	66003
1176	8803	65992
1177	8811	65988
1178	8818	65977
1179	8825	65967
1180	8833	65960
1181	8840	65950
1182	8847	65940
1183	8854	65928
1184	8861	65915
1185	8868	65904
1186	8875	65898
1187	8883	65893
1188	8891	65887
1189	8898	65875
1190	8905	65867
1191	8913	65862
1192	8920	65850
1193	8927	65841
1194	8934	65830
1195	8941	65821
1196	8948	65808
1197	8956	65802
1198	8962	65790
1199	8969	65777
1200	8977	65769
1201	8985	65768
1202	8993	65763
1203	9000	65756
1204	9008	65748
1205	9014	65730
1206	9021	65724
1207	9028	65712
1208	9035	65701
1209	9050	65744
1210	9058	65740
1211	9065	65734
1212	9072	65723
1213	9079	65714
1214	9087	65707
1215	9093	65687
1216	9100	65680
1217	9108	65673
1218	9114	65653
1219	9120	65637
1220	9127	65628
1221	9135	65622
1222	9142	65612
1223	9148	65591
1224	9155	65584
1225	9162	65574
1226	9170	65565
1227	9176	65547
1228	9183	65541
1229	9190	65525
1230	9197	65518
1231	9205	65512
1232	9212	65505
1233	9219	65492
1234	9226	65483
1235	9234	65480
1236	9242	65473
1237	9249	65460
1238	9256	65452
1239	9264	65446
1240	9271	65438
1241	9279	65432
1242	9286	65423
1243	9293	65412
1244	9299	65396
1245	9307	65390
